episode,seed,epsilon,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,7,1.000000,-15.050000,1.063846,50.492331,48,1,0,1,lost,100.000,1.500,0.000,1,13,-15.050000,1.063846,0.000000,,
2,8,0.994722,-21.000000,1.146358,54.474516,50,1,0,1,lost,65.070,16.500,0.000,3,18,-18.025000,1.105102,0.000000,,
3,9,0.989444,-11.050000,1.152425,53.225633,50,1,0,1,lost,100.000,0.308,25.000,2,20,-15.700000,1.120876,0.000000,,
4,10,0.984167,-16.350000,1.125368,55.155941,50,1,0,1,lost,98.050,1.500,0.000,3,18,-15.862500,1.121999,0.000000,-15.033333,0.000000
5,11,0.978889,-20.350000,1.244306,56.306920,50,1,0,1,lost,92.970,22.500,0.000,4,12,-16.760000,1.146461,0.000000,,
6,12,0.973611,-31.550000,1.217615,57.830383,50,1,0,1,lost,29.800,15.500,0.000,0,11,-19.225000,1.158320,0.000000,,
7,13,0.968333,-15.100000,1.172976,54.054183,50,1,0,1,lost,100.000,1.950,48.000,4,14,-18.635714,1.160413,0.000000,,
8,14,0.963056,-18.900000,1.208604,57.027235,50,1,0,1,lost,100.000,10.956,0.000,1,11,-18.668750,1.166437,0.000000,-14.583333,0.000000
9,15,0.957778,-14.350000,1.058171,49.086432,50,1,0,1,lost,100.000,0.000,37.500,3,14,-18.188889,1.154408,0.000000,,
10,16,0.952500,-15.650000,1.340040,54.498664,44,1,0,1,lost,100.000,1.500,0.000,2,10,-17.935000,1.172971,0.000000,,
11,17,0.947222,-26.800000,1.173605,52.885159,50,1,0,1,lost,100.000,0.000,3.500,0,11,-18.740909,1.173029,0.000000,,
12,18,0.941944,-20.900000,1.330598,61.374622,50,1,0,1,lost,93.190,22.500,0.000,1,14,-18.920833,1.186159,0.000000,-13.500000,0.000000
